Op Date,Op Id,Op Type,From Vessel,From Batch,To Vessel,To Batch,NET,Loss/Gain Amount (gal),Loss/Gain Reason,Winery
9/1/2025 1:24,224808,Measurement,PRB10,PMERH323STV4,PRB10,--,0,-601,Dump Lees,
9/1/2025 6:43,221790,Treatment (Product),PD17,CCHACR24A002,PD17,CCHACR24A002,0,0,--,
9/1/2025 6:52,222550,Treatment (Product),PD15,CCHAIM24A001,PD15,CCHAIM24A001,0,0,--,
9/1/2025 8:43,221952,Transfer,G96,GWR24-054-0049,GDY1,GWR24-054-0049,0,0,--,
9/1/2025 8:59,225816,Treatment (Product),POAK16,CWHREG24OK16,POAK16,CWHREG24OK16,0,0,--,
9/1/2025 9:37,219580,Analysis,PF14,CSABMP250002,PF14,CSABMP250002,0,0,--,
9/1/2025 9:38,220015,Analysis,PF15,PSABAV250002,PF15,PSABAV250002,0,0,--,
9/1/2025 9:39,219915,Analysis,PF16,PSABMP250001,PF16,PSABMP250001,0,0,--,
9/1/2025 9:41,219931,Analysis,PF17,PSABAV250001,PF17,PSABAV250001,0,0,--,
9/1/2025 9:43,219465,Analysis,PF18,PSABGW250003,PF18,PSABGW250003,0,0,--,
9/1/2025 9:44,219276,Analysis,PF19,PSABMP250002,PF19,PSABMP250002,0,0,--,
9/1/2025 9:46,219490,Analysis,PG15,CCHA12250001,PG15,CCHA12250001,0,0,--,
9/1/2025 9:49,219592,Analysis,PI08,QPIGAF250001,PI08,QPIGAF250001,0,0,--,
9/1/2025 9:50,219620,Analysis,PI04,PPIGAF250001,PI04,PPIGAF250001,0,0,--,
9/1/2025 9:52,219607,Analysis,PI03,PROSEP250001,PI03,PROSEP250001,0,0,--,
9/1/2025 9:52,219608,Analysis,PI03,PROSEP250001,PI03,PROSEP250001,0,0,--,
9/1/2025 9:53,219587,Analysis,PG27,PROSHP250001,PG27,PROSHP250001,0,0,--,
9/1/2025 9:53,219588,Analysis,PG27,PROSHP250001,PG27,PROSHP250001,0,0,--,
9/1/2025 9:55,219284,Analysis,PG28,CROSHP250001,PG28,CROSHP250001,0,0,--,
9/1/2025 9:55,219285,Analysis,PG28,CROSHP250001,PG28,CROSHP250001,0,0,--,
9/1/2025 9:57,219286,Analysis,PJ01,CMUCV8250001,PJ01,CMUCV8250001,0,0,--,
9/1/2025 9:57,219287,Analysis,PJ01,CMUCV8250001,PJ01,CMUCV8250001,0,0,--,
9/1/2025 9:58,219288,Analysis,PJ02,CMUCV8250002,PJ02,CMUCV8250002,0,0,--,
9/1/2025 9:58,219289,Analysis,PJ02,CMUCV8250002,PJ02,CMUCV8250002,0,0,--,
9/1/2025 10:00,219549,Analysis,PF11,CSABUF250002,PF11,CSABUF250002,0,0,--,
9/1/2025 10:01,219550,Analysis,PF11,CSABUF250002,PF11,CSABUF250002,0,0,--,
9/1/2025 10:09,219484,Analysis,PRQ02,CCHA1225CON13,PRQ02,CCHA1225CON13,0,0,--,
9/1/2025 10:10,219485,Analysis,PRQ02,CCHA1225CON13,PRQ02,CCHA1225CON13,0,0,--,
9/1/2025 10:24,219516,Analysis,PQ06,CSABEG250001,PQ06,CSABEG250001,0,0,--,
9/1/2025 10:24,219517,Analysis,PQ06,CSABEG250001,PQ06,CSABEG250001,0,0,--,
9/1/2025 10:25,219505,Analysis,PQ07,CSABAV250001,PQ07,CSABAV250001,0,0,--,
9/1/2025 10:26,219506,Analysis,PQ07,CSABAV250001,PQ07,CSABAV250001,0,0,--,
9/1/2025 10:26,219598,Analysis,PQ03,PROSEP250002,PQ03,PROSEP250002,0,0,--,
9/1/2025 10:26,219599,Analysis,PQ03,PROSEP250002,PQ03,PROSEP250002,0,0,--,
9/1/2025 10:26,219300,Analysis,PP12,CROSEP250005,PP12,CROSEP250005,0,0,--,
9/1/2025 10:26,219301,Analysis,PP12,CROSEP250005,PP12,CROSEP250005,0,0,--,
9/1/2025 10:27,219741,Analysis,PD07,CSABMP250003,PD07,CSABMP250003,0,0,--,
9/1/2025 10:27,219742,Analysis,PD07,CSABMP250003,PD07,CSABMP250003,0,0,--,
9/1/2025 10:28,220051,Analysis,PD06,CSABMP250001,PD06,CSABMP250001,0,0,--,
9/1/2025 10:28,220052,Analysis,PD06,CSABMP250001,PD06,CSABMP250001,0,0,--,
9/1/2025 10:28,219602,Analysis,PD02,CROSEP250003,PD02,CROSEP250003,0,0,--,
9/1/2025 10:28,219603,Analysis,PD02,CROSEP250003,PD02,CROSEP250003,0,0,--,
9/1/2025 10:29,219624,Analysis,PD01,CROSEP250002,PD01,CROSEP250002,0,0,--,
9/1/2025 10:29,219625,Analysis,PD01,CROSEP250002,PD01,CROSEP250002,0,0,--,
9/1/2025 10:29,219310,Analysis,PC03,PROSEP250004,PC03,PROSEP250004,0,0,--,
9/1/2025 10:29,219311,Analysis,PC03,PROSEP250004,PC03,PROSEP250004,0,0,--,
9/1/2025 10:32,219314,Analysis,PA10,CSABUF250001,PA10,CSABUF250001,0,0,--,
9/1/2025 10:32,219315,Analysis,PA10,CSABUF250001,PA10,CSABUF250001,0,0,--,
9/1/2025 10:43,223104,Treatment (Product),PX06,PCAS002300T2,PX06,PCAS002300T2,0,0,--,
9/1/2025 10:43,223105,Treatment (Product),PX35,PCAS002300T1,PX35,PCAS002300T1,0,0,--,
9/1/2025 10:48,219565,Analysis,PA09,CSABMP250001,PA09,CSABMP250001,0,0,--,
9/1/2025 10:48,219566,Analysis,PA09,CSABMP250001,PA09,CSABMP250001,0,0,--,
9/1/2025 12:00,220729,Multi transfer (many-to-one),PN07,CWHRCV24C001,Stars 2,CWHRCV24C001,0,0,--,
9/1/2025 12:00,220729,Multi transfer (many-to-one),PN08,CWHRCV24C001,Stars 2,CWHRCV24C001,0,0,--,
9/1/2025 12:00,220729,Multi transfer (many-to-one),PN09,CWHRCV24C001,Stars 2,CWHRCV24C001,0,0,--,
9/1/2025 12:00,220729,Multi transfer (many-to-one),PN10,CWHRCV24C001,Stars 2,CWHRCV24C001,0,0,--,
